CardName,CardType,Description
Jellyfish," Normal Monster  Aqua  1200  1500","An almost invisible, semi-transparent jellyfish that drifts in the sea."
Jinzo #7," Effect Monster  Machine  500  400",This monster can attack your opponent's Life Points directly.
Jirai Gumo," Effect Monster  Insect  2200  100","When this card declares an attack: Toss a coin and call it. If you call it wrong, lose half your Life Points."
Kaminari Attack," Fusion Monster  Thunder  1900  1400","""Ocubeam"" + ""Mega Thunderball"""
Kazejin," Effect Monster  Spellcaster  2400  2200","During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field."
Killer Needle," Normal Monster  Insect  1200  1000",A huge bee with exceptional strength that's particularly dangerous in a swarm.
King of Yamimakai," Normal Monster  Fiend  2000  1530",Wields the power of darkness to destroy its enemies.
Kuriboh," Effect Monster  Fiend  300  200","During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle."
Labyrinth Tank," Fusion Monster  Machine  2400  2400","""Giga-Tech Wolf"" + ""Cannon Soldier"""
Lady of Faith," Normal Monster  Spellcaster  1100  800",Soothes the souls of others by chanting a mysterious spell.
Larvae Moth," Effect Monster  Insect  500  400","This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" during your 2nd turn after ""Petit Moth"" has been equipped with ""Cocoon of Evolution""."
Launcher Spider," Normal Monster  Machine  2200  2500",A mechanical spider with rocket launchers capable of random fire.
Lava Battleguard," Effect Monster  Warrior  1550  1800","This card gains 500 ATK for each ""Swamp Battleguard"" you control."
Leghul," Effect Monster  Insect  300  350",This monster may attack your opponent's Life Points directly.
Leogun," Normal Monster  Beast  1750  1550",Huge monster with a lion's mane similar to the King of Beasts.
Little Chimera," Effect Monster  Beast  600  550",All FIRE monsters on the field gain 500 ATK. All WATER monsters on the field lose 400 ATK.
Magic Jammer," Trap Card  Counter","When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it."
Magician of Faith," Flip Effect Monster  Spellcaster  300  400",FLIP: Target 1 Spell in your GY; add that target to your hand.
Mask of Darkness," Flip Effect Monster  Fiend  900  400",FLIP: Target 1 Trap in your GY; add that target to your hand.
Masked Sorcerer," Effect Monster  Spellcaster  900  1400","When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck."
Mega Thunderball," Normal Monster  Thunder  750  600",Rolls along the ground releasing bolts of electricity to attack its enemies.
Milus Radiant," Effect Monster  Beast  300  250","As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 points and decrease the ATK of all WIND monsters by 400 points."
Mirror Force," Trap Card  Normal",When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.
Morinphen," Normal Monster  Fiend  1550  1300",A strange fiend with long arms and razor-sharp talons.
Muka Muka," Effect Monster  Rock  600  300",This card gains 300 ATK and DEF for each card in your hand.
Mushroom Man #2," Effect Monster  Warrior  1250  800",A player controlling this monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.
Musician King," Fusion Monster  Spellcaster  1750  1500","""Witch of the Black Forest"" + ""Lady of Faith"""
Mystic Lamp," Effect Monster  Spellcaster  400  300",This monster can attack your opponent's Life Points directly.
Niwatori," Normal Monster  Winged Beast  900  800",Swallows enemies whole and uses their essence as energy.
Ocubeam," Normal Monster  Fairy  1550  1650","Frightening in appearance, this creature uses its large eyes and ears to keep track of any movement."
Ooguchi," Effect Monster  Aqua  300  250",This monster may attack your opponent's Life Points directly.
Paralyzing Potion," Spell Card  Equip",A non Machine-Type monster equipped with this card cannot attack.
Petit Moth," Normal Monster  Insect  300  200",This small but deadly creature is better off avoided.
Prevent Rat," Normal Monster  Beast  500  2000",This creature is shielded with a tough hide of hair and is excellent at defending itself.
Princess of Tsurugi," Flip Effect Monster  Warrior  900  700",FLIP: Inflict 500 damage to your opponent for each Spell and Trap Card on your opponent's side of the field.
Protector of the Throne," Normal Monster  Warrior  800  1500","While the king is away, this queen protects his throne with a mighty defense."
Pumpking the King of Ghosts," Effect Monster  Zombie  1800  2000","If ""Castle of Dark Illusions"" is face-up on the field, increase the ATK and DEF of this card by 100 points. As long as this ""Castle of Dark Illusions"" remains face-up on the field, the ATK and DEF of this card continues to increase by 100 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated."
Punished Eagle," Fusion Monster  Winged Beast  2100  1800","""Blue-Winged Crown"" + ""Niwatori"""
Queen's Double," Effect Monster  Warrior  350  300",This monster may attack your opponent's Life Points directly.
Rabid Horseman," Fusion Monster  Beast-Warrior  2000  1700","""Battle Ox"" + ""Mystic Horseman"""
Rainbow Flower," Effect Monster  Plant  400  500",This monster may attack your opponent's Life Points directly.
Ring of Magnetism," Spell Card  Equip","You can only equip this card to a monster on your side of the field. Decrease the ATK and DEF of a monster equipped with this card by 500 points. In addition, all the monsters on your opponent's side of the field can only attack the monster equipped with this card, if they attack."
Roaring Ocean Snake," Fusion Monster  Aqua  2100  1800","""Mystic Lamp"" + ""Hyosube"""
Robbin' Goblin," Trap Card  Continuous","Each time a monster you control inflicts Battle Damage to your opponent, your opponent discards 1 random card."
Rock Ogre Grotto #1," Normal Monster  Rock  800  1200","Protected by a solid body of rock, this monster throws a bone-shattering punch."
Saggi the Dark Clown," Normal Monster  Spellcaster  600  1500",This clown appears from nowhere and executes very strange moves to avoid enemy attacks.
Sanga of the Thunder," Effect Monster  Thunder  2600  2200","During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field."
Sangan," Effect Monster  Fiend  1000  600","If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn."
Seven Tools of the Bandit," Trap Card  Counter","When a Trap Card is activated: Pay 1000 LP; negate the activation, and if you do, destroy it."
Shadow Ghoul," Effect Monster  Zombie  1600  1300",This card gains 100 ATK for each monster in your Graveyard.
Share the Pain," Spell Card  Normal",Tribute 1 monster; make your opponent Tribute 1 monster (for no effect).
Shield & Sword," Spell Card  Normal","Switch the original ATK and DEF of all face-up monsters currently on the field, until the end of this turn."
Skull Knight," Fusion Monster  Spellcaster  2650  2250","""Tainted Wisdom"" + ""Ancient Brain"""
Solemn Judgment," Trap Card  Counter","When a monster(s) would be Summoned, OR a Spell/Trap Card is activated: Pay half your LP; negate the Summon or activation, and if you do, destroy that card."
Soul Release," Spell Card  Normal",Target up to 5 cards in any GY(s); banish them.
Star Boy," Effect Monster  Aqua  550  500","As long as this card remains face-up on the field, increase the ATK of all WATER monsters by 500 points and decrease the ATK of all FIRE monsters by 400 points."
Steel Scorpion," Effect Monster  Machine  250  300","A non Machine-Type Monster attacking ""Steel Scorpion"" will be destroyed at the End Phase of your opponent's 2nd turn after the attack."
Stim-Pack," Spell Card  Equip","The equipped monster gains 700 ATK. During each of your Standby Phases, the equipped monster loses 200 ATK."
Suijin," Effect Monster  Aqua  2500  2400","During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field."
Swamp Battleguard," Effect Monster  Warrior  1800  1500","This card gains 500 ATK for each ""Lava Battleguard"" you control."
Sword of Deep-Seated," Spell Card  Equip",The equipped monster gains 500 ATK/DEF. If this card is sent to your GY: Place it on top of your Deck.
Tainted Wisdom," Effect Monster  Fiend  1250  800",If this Attack Position card is changed to face-up Defense Position: Shuffle your Deck.
The Bistro Butcher," Effect Monster  Fiend  1800  1000","When this card inflicts Battle Damage to your opponent, your opponent draws 2 cards."
The Cheerful Coffin," Spell Card  Normal",Discard up to 3 Monster Cards from your hand to the Graveyard.
The Immortal of Thunder," Flip Effect Monster  Thunder  1500  1300","FLIP: Increase your Life Points by 3000 points. When this card is sent from the field to the Graveyard, you lose 5000 Life Points."
The Little Swordsman of Aile," Effect Monster  Warrior  800  1300",Offer 1 monster on your side of the field as a Tribute to increase this monster's ATK by 700 points until the end of the turn.
The Unhappy Maiden," Effect Monster  Spellcaster  100","When this card is sent to the Graveyard as a result of battle, the Battle Phase for that turn ends immediately."
Thousand Dragon," Fusion Monster  Dragon  2400  2000","""Time Wizard"" + ""Baby Dragon"""
Thunder Dragon," Effect Monster  Thunder  1600  1500","You can discard this card; add up to 2 ""Thunder Dragon"" from your Deck to your hand."
Time Wizard," Effect Monster  Spellcaster  500  400","Once per turn: You can toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy as many monsters you control as possible, and if you do, take damage equal to half the total ATK those destroyed monsters had while face-up on the field."
Tongyo," Normal Monster  Fish  1350  800",This monster captures other fish with its long tongue and sucks the energy out of them.
Tremendous Fire," Spell Card  Normal",Inflict 1000 points of damage to your opponent's Life Points and 500 points of damage to your Life Points.
